id,gender,mcat,scat,name,color,season,usage,brand,price,no of ratings,avg rating,url
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,Turtle Check Men Navy Blue Shirt,297,37,2.3,http://assets.myntassets.com/v1/images/style/properties/7a5b82d1372a7a5c6de67ae7a314fd91_images.jpg
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,Peter England Men Party Blue Jeans,2855,132,4.7,http://assets.myntassets.com/v1/images/style/properties/4850873d0c417e6480a26059f83aac29_images.jpg
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,Casual,Manchester United Men Solid Black Track Pants,1682,112,3.3,http://assets.myntassets.com/v1/images/style/properties/8153dc35d9a5420eeb93922067137db6_images.jpg
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Puma Men Grey T-shirt,1127,453,2.1,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-Grey-T-shirt_32668f8a61454d0cc028a808cf21b383_images.jpg
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Inkfruit Mens Chain Reaction T-shirt,1668,164,4.6,http://assets.myntassets.com/v1/images/style/properties/9c1b19682ecf926c296f520d5d6e0972_images.jpg
30805,Men,Apparel,Topwear,Shirts,Green,Summer,Ethnic,Fabindia Men Striped Green Shirt,388,430,2.3,http://assets.myntassets.com/v1/images/style/properties/06e9d4231254fdb2c7fe967ad413ad7b_images.jpg
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,Casual,Jealous 21 Women Purple Shirt,2930,427,4.5,http://assets.myntassets.com/v1/images/style/properties/45ddbc6a15140556214e15923244755b_images.jpg
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,Formal,Reid & Taylor Men Check Purple Shirts,2258,449,2.3,http://assets.myntassets.com/v1/images/style/properties/8bc9be576081baae77e8561b1132288f_images.jpg
42419,Girls,Apparel,Topwear,Tops,White,Summer,Casual,Gini and Jony Girls Knit White Top,1144,416,3.6,http://assets.myntassets.com/v1/images/style/properties/f3964f76c78edd85f4512d98b26d52e9_images.jpg
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,414,114,2.6,http://assets.myntassets.com/v1/images/style/properties/59912a0287751ff0475c8748dbcf4ea0_images.jpg
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Sports,Fila Men's Round Neck Navy Blue T-shirt,2968,177,4.4,http://assets.myntassets.com/v1/images/style/properties/296a8c388d05d67346db88af27d3b763_images.jpg
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,Formal,John Players Men Navy Blue Shirt,478,175,3.6,http://assets.myntassets.com/v1/images/style/properties/3af9f145845d8453a066322de35980af_images.jpg
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,2755,330,4.4,http://assets.myntassets.com/v1/images/style/properties/0108969213975af06095ff84a0ec0c72_images.jpg
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,Casual,John Players Men Brown Shirt,1128,354,2.9,http://assets.myntassets.com/v1/images/style/properties/John-Players-Men-Brown-Shirt_7eec3b0568f65dc8f39a534376538551_images.jpg
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic,Diva Women Embroided Green Kurta,1191,192,4.6,http://assets.myntassets.com/v1/images/style/properties/08a0c29d2ea67ca9449aa54466f6b0a1_images.jpg
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,Jealous 21 Women's Pink T-shirt,2200,144,4.1,http://assets.myntassets.com/v1/images/style/properties/b56e261f9206aa95e42c43f4e62d0e5a_images.jpg
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,Ethnic,W Women Printed Beige Kurta,1816,160,2.2,http://assets.myntassets.com/v1/images/style/properties/df0a23e732654c5e7db3888e39393e79_images.jpg
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,Casual,Scullers Men  Grey Waistcoat,308,62,2.9,http://assets.myntassets.com/v1/images/style/properties/0d2e2ceaaf6d09d447caad678b2edbe6_images.jpg
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,Sports,Puma Men Long Logo Black Bermuda,1706,103,2.4,http://assets.myntassets.com/v1/images/style/properties/91ca48e3204f23cd376fad7f186875bf_images.jpg
9452,Men,Apparel,Topwear,Shirts,Red,Fall,Formal,John Miller Men Stripes White Red Shirts,1877,233,4.7,http://assets.myntassets.com/v1/images/style/properties/5e557eb0be7c6420f7c7a6bbaa432993_images.jpg
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,Ethnic,Vishudh Women Brown Kurta,463,307,2.8,http://assets.myntassets.com/v1/images/style/properties/fee54b57fcd02b7c07d42b0918025099_images.jpg
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Puma Men's Stripe Polo Black T-shirt,1080,347,2.1,http://assets.myntassets.com/v1/images/style/properties/02e4e32cd9d09052f0ec3d46fa747d39_images.jpg
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,Casual,Nike Women Purple Polo T-shirt,1267,170,2.3,http://assets.myntassets.com/v1/images/style/properties/206a0614c4644cd8816576efd47d60d8_images.jpg
4943,Men,Apparel,Topwear,Shirts,White,Summer,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,2605,256,2.7,http://assets.myntassets.com/v1/images/style/properties/1aae016d0abb224cfc18e6bd9bb01ad1_images.jpg
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,Wrangler Men Motor Rider Red T-Shirts,596,196,2.5,http://assets.myntassets.com/v1/images/style/properties/b34550bc6415dcd66892de4ef2837fd9_images.jpg
59607,Women,Apparel,Saree,Sarees,Grey,Fall,Ethnic,FNF Pink & Grey Wedding Collection Sari,2757,126,5.0,http://assets.myntassets.com/v1/images/style/properties/FNF-Green-Collection-for-Wedding-Wear-Sari_6c60eef0b8d9cff87cfcd1f73953e5cd_images.jpg
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,Puma Men Scribble Black Tshirts,1756,24,4.0,http://assets.myntassets.com/v1/images/style/properties/cd16e955e4b6b3f9d7089c15652a3f00_images.jpg
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,Casual,Do U Speak Green Men Blue Shorts,2380,409,2.0,http://assets.myntassets.com/v1/images/style/properties/Do-u-speak-green-Men-Blue-Shorts_40b6775eae62124195817a64d4ae4a93_images.jpg
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,Casual,Indigo Nation Men Reversible Bling Pink Shirts,2527,379,4.2,http://assets.myntassets.com/v1/images/style/properties/0be615f02ae1f1cfe78155555a79007c_images.jpg
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,Sports,Nike Women Black T-shirt,1358,218,4.2,http://assets.myntassets.com/v1/images/style/properties/135f9aa8141d682fc218393049c70324_images.jpg
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual,ADIDAS Men Blue Sweatshirt,522,132,2.4,http://assets.myntassets.com/v1/images/style/properties/fcd52c6506b43f3af116a62c2ea81204_images.jpg
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,Manchester United Men Solid Red Tshirt,1422,18,2.4,http://assets.myntassets.com/v1/images/style/properties/eba1c1b241555d8afa3f7232ed2c6933_images.jpg
49653,Women,Apparel,Topwear,Tops,Green,Summer,Casual,Mineral Women Green Top,2444,410,4.4,http://assets.myntassets.com/v1/images/style/properties/fe446adf94f9beb301b61bfc75a70bfa_images.jpg
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,2235,286,2.7,http://assets.myntassets.com/v1/images/style/properties/8d7f0bbb0bdefcbcc692bcdf4a6400ee_images.jpg
58513,Women,Apparel,Topwear,Tops,Off White,Summer,Casual,Tonga Women Maroon Top,206,180,3.7,http://assets.myntassets.com/v1/images/style/properties/Tonga-Women-Maroon-Top_e5cc855ba59e5640817434d45f9c088d_images.jpg
52029,Unisex,Apparel,Topwear,Rain Jacket,Coffee Brown,Summer,,Just Natural Unisex Charcoal Rain Jacket,946,303,3.4,http://assets.myntassets.com/v1/images/style/properties/cbc319393da4e3d0eb140d3c8a045d2c_images.jpg
