id,product,no of ratings,avg rating,price
15970,shirts turtle check men navy blue shirt apparel topwear casual men navy blue fall,37,2.3,297
39386,jeans peter england men party blue jeans apparel bottomwear casual men blue summer,132,4.7,2855
21379,track pants manchester united men solid black track pants apparel bottomwear casual men black fall,112,3.3,1682
53759,tshirts puma men grey tshirt apparel topwear casual men grey summer,453,2.1,1127
1855,tshirts inkfruit mens chain reaction tshirt apparel topwear casual men grey summer,164,4.6,1668
30805,shirts fabindia men striped green shirt apparel topwear ethnic men green summer,430,2.3,388
26960,shirts jealous women purple shirt apparel topwear casual women purple summer,427,4.5,2930
12369,shirts reid taylor men check purple shirts apparel topwear formal men purple fall,449,2.3,2258
42419,tops gini jony girls knit white top apparel topwear casual girls white summer,416,3.6,1144
13089,sweatshirts adidas men lfc auth hood grey sweatshirts apparel topwear sports men grey fall,114,2.6,414
7990,tshirts fila mens round neck navy blue tshirt apparel topwear sports men navy blue fall,177,4.4,2968
37812,shirts john players men navy blue shirt apparel topwear formal men navy blue summer,175,3.6,478
4729,tshirts disney kids boys crew sea life sialing green teen kidswear apparel topwear casual boys green summer,330,4.4,2755
56825,shirts john players men brown shirt apparel topwear casual men brown summer,354,2.9,1128
20099,kurtas diva women embroided green kurta apparel topwear ethnic women green fall,192,4.6,1191
3954,tshirts jealous womens pink tshirt apparel topwear casual women pink summer,144,4.1,2200
28690,kurtas w women printed beige kurta apparel topwear ethnic women beige summer,160,2.2,1816
8580,waistcoat scullers men grey waistcoat apparel topwear casual men grey fall,62,2.9,308
18005,shorts puma men long logo black bermuda apparel bottomwear sports men black summer,103,2.4,1706
9452,shirts john miller men stripes white red shirts apparel topwear formal men red fall,233,4.7,1877
45856,kurtas vishudh women brown kurta apparel topwear ethnic women brown summer,307,2.8,463
5891,tshirts puma mens stripe polo black tshirt apparel topwear casual men black summer,347,2.1,1080
38630,tshirts nike women purple polo tshirt apparel topwear casual women purple summer,170,2.3,1267
4943,shirts gini jony boys kaleb white brown kidswear apparel topwear casual men white summer,256,2.7,2605
10866,tshirts wrangler men motor rider red tshirts apparel topwear casual men red fall,196,2.5,596
59607,sarees fnf pink grey wedding collection sari apparel saree ethnic women grey fall,126,5,2757
15528,tshirts puma men scribble black tshirts apparel topwear casual men black fall,24,4,1756
54924,shorts u speak green men blue shorts apparel bottomwear casual men blue summer,409,2,2380
9660,shirts indigo nation men reversible bling pink shirts apparel topwear casual men pink fall,379,4.2,2527
2288,tshirts nike women black tshirt apparel topwear sports women black fall,218,4.2,1358
23876,sweatshirts adidas men blue sweatshirt apparel topwear casual men blue fall,132,2.4,522
18237,tshirts manchester united men solid red tshirt apparel topwear casual men red fall,18,2.4,1422
49653,tops mineral women green top apparel topwear casual women green summer,410,4.4,2444
13419,tshirts united colors benetton men solid pink polo tshirts apparel topwear casual men pink summer,286,2.7,2235
58513,tops tonga women maroon top apparel topwear casual women white summer,180,3.7,206
52029,rain jacket natural unisex charcoal rain jacket apparel topwear nan unisex coffee brown summer,303,3.4,946
