id,gender,mcat,scat,name,color,season,usage,brand,price,no of ratings,avg rating
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,Turtle Check Men Navy Blue Shirt,297,37,2.3
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,Peter England Men Party Blue Jeans,2855,132,4.7
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,Casual,Manchester United Men Solid Black Track Pants,1682,112,3.3
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Puma Men Grey T-shirt,1127,453,2.1
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Inkfruit Mens Chain Reaction T-shirt,1668,164,4.6
30805,Men,Apparel,Topwear,Shirts,Green,Summer,Ethnic,Fabindia Men Striped Green Shirt,388,430,2.3
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,Casual,Jealous 21 Women Purple Shirt,2930,427,4.5
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,Formal,Reid & Taylor Men Check Purple Shirts,2258,449,2.3
42419,Girls,Apparel,Topwear,Tops,White,Summer,Casual,Gini and Jony Girls Knit White Top,1144,416,3.6
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,414,114,2.6
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Sports,Fila Men's Round Neck Navy Blue T-shirt,2968,177,4.4
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,Formal,John Players Men Navy Blue Shirt,478,175,3.6
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,2755,330,4.4
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,Casual,John Players Men Brown Shirt,1128,354,2.9
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic,Diva Women Embroided Green Kurta,1191,192,4.6
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,Jealous 21 Women's Pink T-shirt,2200,144,4.1
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,Ethnic,W Women Printed Beige Kurta,1816,160,2.2
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,Casual,Scullers Men  Grey Waistcoat,308,62,2.9
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,Sports,Puma Men Long Logo Black Bermuda,1706,103,2.4
9452,Men,Apparel,Topwear,Shirts,Red,Fall,Formal,John Miller Men Stripes White Red Shirts,1877,233,4.7
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,Ethnic,Vishudh Women Brown Kurta,463,307,2.8
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Puma Men's Stripe Polo Black T-shirt,1080,347,2.1
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,Casual,Nike Women Purple Polo T-shirt,1267,170,2.3
4943,Men,Apparel,Topwear,Shirts,White,Summer,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,2605,256,2.7
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,Wrangler Men Motor Rider Red T-Shirts,596,196,2.5
59607,Women,Apparel,Saree,Sarees,Grey,Fall,Ethnic,FNF Pink & Grey Wedding Collection Sari,2757,126,5
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,Puma Men Scribble Black Tshirts,1756,24,4
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,Casual,Do U Speak Green Men Blue Shorts,2380,409,2
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,Casual,Indigo Nation Men Reversible Bling Pink Shirts,2527,379,4.2
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,Sports,Nike Women Black T-shirt,1358,218,4.2
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual,ADIDAS Men Blue Sweatshirt,522,132,2.4
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,Casual,Manchester United Men Solid Red Tshirt,1422,18,2.4
49653,Women,Apparel,Topwear,Tops,Green,Summer,Casual,Mineral Women Green Top,2444,410,4.4
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,2235,286,2.7
58513,Women,Apparel,Topwear,Tops,Off White,Summer,Casual,Tonga Women Maroon Top,206,180,3.7
52029,Unisex,Apparel,Topwear,Rain Jacket,Coffee Brown,Summer,,Just Natural Unisex Charcoal Rain Jacket,946,303,3.4
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,ADIDAS Men's Twelve Faster T-shirt,385,127,2.1
39716,Women,Apparel,Dress,Dresses,Blue,Summer,Casual,Arrow Woman Women Blue Dress,2848,99,3.2
55802,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,1950,341,4.5
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Indigo Nation Men Printed Black T-shirt,2275,36,2.1
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,Sports,Urban Yoga Women Blue Skirt With Leggings,2228,159,4.5
34009,Girls,Apparel,Topwear,Tops,Black,Summer,Casual,Gini and Jony Girls Black Top,2397,165,3.1
9694,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,Classic Polo Men Vulcan White Polo Tshirts,1490,55,3.7
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,Casual,Turtle Check Men Yellow Shirt,228,312,2.9
59297,Men,Apparel,Topwear,Shirts,White,Fall,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,918,66,3.7
27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,Formal,Scullers For Her Charcoal Blazer,741,127,2.2
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,Casual,Jealous 21 Women Black Jeans,395,228,2.1
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,Ethnic,Sushilas Women Printed Green Kurta,1724,93,4
8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,1469,28,3.7
7158,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,Scullers Men  Green Check Shirt,552,29,3.9
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,1415,357,2.4
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,Sports,Puma Men's Large Logo Graphic Black T-shirt,604,292,4.7
39140,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,Ethnic,Aneri Women Black & Maroon Salwar Suit,1628,193,5
16392,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,Levis Men Check Red Shirts,534,127,3.3
51455,Women,Apparel,Topwear,Shrug,Pink,Summer,Casual,Tonga Women Pink Printed Shrug,1616,171,3.2
17240,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt,2864,103,4.1
6617,Men,Apparel,Topwear,Shirts,Black,Summer,Casual,Spykar Men Black and white Check Shirt,2083,267,3.8
3365,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Myntra Men's Brain Black T-shirt,709,431,3.9
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,Casual,Puma Men ducati logo tee Yellow Tshirts,2714,413,2.6
5092,Men,Apparel,Topwear,Tshirts,Purple,Summer,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt,1818,409,4.9
10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,1233,197,4.6
59638,Women,Apparel,Saree,Sarees,Green,Fall,Ethnic,FNF Green Wedding Collection Sari,740,134,4.5
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,Formal,John Miller Men Solid Type Black Trousers,2198,425,4.7
24062,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,Locomotive Men Navy Blue Printed T-shirt,774,224,2.4
11385,Women,Apparel,Topwear,Sweatshirts,Black,Fall,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts,503,58,2.2
22395,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,Mark Taylor Men Striped Blue Shirt,336,82,4.3
31782,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,Lee Women Paula Blue Top,2327,76,3.1
12500,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,United Colors of Benetton Men Short Black Shirts,2928,400,2.2
30650,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,Nike Men Printed Black T-shirt,1385,206,4.4
32563,Women,Apparel,Bottomwear,Trousers,Blue,Summer,Casual,ONLY Women directoire blue Trousers,1470,135,4.4
40143,Girls,Apparel,Topwear,Tops,Blue,Summer,Casual,Gini and Jony Girls Pretty Blossom Blue Top,913,177,4.6
24406,Women,Apparel,Topwear,Kurtas,Red,Summer,Ethnic,Vishudh Women Red Printed Kurta,2447,53,4
21174,Women,Apparel,Topwear,Tops,Beige,Fall,Casual,s.Oliver Women Stripes Beige Top,2759,109,2.9
15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,Sports,Nike Women Solid Pink Shorts,559,334,4.1
14293,Men,Apparel,Topwear,Tshirts,Blue,Fall,Casual,Classic Polo Men Stripes Blue Tshirts,1729,328,4.9
6041,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt,2417,330,2.7
23623,Girls,Apparel,Topwear,Tops,Pink,Fall,Casual,Doodle Kids Girls Pink I love Shopping Top,2763,82,2.1
9835,Women,Apparel,Topwear,Tshirts,Grey,Fall,Casual,Little Miss Women Printed Grey T-shirt,863,340,2.6
7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,Casual,Jealous 21 Women Black Jegging,807,482,2.4
27283,Women,Apparel,Topwear,Kurtas,Magenta,Fall,Ethnic,Mother Earth Women Magenta Kurta,2953,126,4.8
3533,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt,735,147,2.6
12164,Women,Apparel,Topwear,Dupatta,Orange,Fall,Ethnic,Aurelia Women Voile Orange Dupatta,1711,15,4.4
17624,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,Sports,ADIDAS Men Solid Navy Blue Track Pant,371,160,4.5
47154,Girls,Apparel,Bottomwear,Capris,Black,Summer,Casual,Gini and Jony Girls Black Capris,667,362,2.7
13284,Men,Apparel,Bottomwear,Shorts,Black,Fall,Casual,Gini and Jony Kids Boys Solid Black Shorts,330,223,2.6
26163,Men,Apparel,Bottomwear,Trousers,Grey,Summer,Formal,John Miller Men Dark Grey Trousers,2789,465,4.1
3701,Women,Apparel,Topwear,Tshirts,Black,Summer,Casual,Tantra Women Flower Heart Black Long T-shirt,2458,243,2.2
42426,Women,Apparel,Topwear,Kurtas,Sea Green,Summer,Ethnic,Aurelia Women Sea Green Kurta,2116,226,2.4
10401,Women,Apparel,Topwear,Tops,Purple,Fall,Casual,Jealous 21 Women Uaine Purple Tops,2749,61,4.4
40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,Casual,Tokyo Talkies Women Navy Slim Fit Jeans,584,305,4.6
37223,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,United Colors of Benetton Women Blue Top,715,177,4.6
53766,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,Puma Men White and Navy Blue T-shirt,1551,95,4.6
25520,Girls,Apparel,Topwear,Tops,White,Fall,Casual,Doodle Kids Girls City Chic White Top,1016,319,4.6
32597,Women,Apparel,Topwear,Tops,Black,Summer,Casual,ONLY Women Black Top,532,248,4.6
57100,Women,Apparel,Topwear,Tops,Pink,Summer,Casual,Elle Women Dark Pink Top,2321,207,2.9
52472,Women,Apparel,Loungewear and Nightwear,Bath Robe,Pink,Winter,Casual,Red Rose Women White & Pink Polka Dot Print Bath Robe,1096,133,3.7
50325,Women,Apparel,Topwear,Kurtas,Navy Blue,Summer,Ethnic,Aurelia Women Navy Blue Kurta,372,210,3.6
16530,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,Locomotive Men Check Red Shirt,2435,130,3.2
7167,Men,Apparel,Topwear,Shirts,Purple,Fall,Casual,Scullers Men Scul Purple White Shirt,646,472,4.6
46240,Women,Apparel,Topwear,Tunics,White,Summer,Casual,Fusion Beats Women White Printed Tunic,1578,411,4.5
27277,Women,Apparel,Topwear,Kurtas,Green,Fall,Ethnic,Mother Earth Women Blue Kurta,1157,113,5
6889,Women,Apparel,Topwear,Jackets,Cream,Summer,Casual,Forever New Women Stone Cream Jacket,1380,292,4.6
31312,Women,Apparel,Topwear,Kurtas,Peach,Summer,Ethnic,W Women Peach Kurta,612,136,4.4
12190,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,Basics Men Blue Slim Fit Checked Shirt,935,384,4.3
19578,Women,Apparel,Topwear,Tops,Purple,Summer,Casual,United Colors of Benetton Women Solid Purple Top,212,137,2.9
27879,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,Scullers For Her Women Blue Top,479,311,2.9
6287,Men,Apparel,Topwear,Tshirts,Yellow,Summer,Casual,Classic Polo Men's Swiss Yellow T-shirt,1422,106,2.7
7355,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Tantra Men's Black Sabbath Navy T-shirt,645,266,3.5
43500,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,French Connection Men White T-shirt,2357,362,4.2
13270,Women,Apparel,Topwear,Tops,White,Fall,Casual,Palm Tree Kids Girls Printed White Tops,620,380,2.2
31120,Girls,Apparel,Topwear,Tops,Pink,Summer,Casual,Palm Tree Girls Pink Top,525,317,4.2
11527,Men,Apparel,Topwear,Tshirts,Olive,Fall,Casual,United Colors of Benetton Men Olive Tshirts,2585,312,5
40385,Women,Apparel,Topwear,Tops,Yellow,Summer,Casual,Tokyo Talkies Women Yellow Top,1810,474,3.7
15187,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,Arrow Sport Men Solid White Polo Tshirts,1122,66,2.3
14055,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,Flying Machine Men Check Green Shirts,2503,210,2.2
20260,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Wrangler Men Applique Navy Blue Tshirt,1659,50,4.5
28469,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,Urban Yoga Women Printed Pink T-shirt,1141,239,4.1
34036,Boys,Apparel,Topwear,Shirts,Blue,Summer,Casual,Palm Tree Boys Check Blue Shirt,1300,186,4.6
8779,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,Indigo Nation Men Club Satin Hot Stepper Navy Blue Shirt,927,74,2.8
2243,Men,Apparel,Topwear,Tshirts,White,Fall,Sports,ADIDAS Men Stripe Polo White Polo T-shirt,1821,481,4.9
27421,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Blue,Winter,Casual,Jockey Women Blue Lounge Pants,1416,79,2.9
33213,Women,Apparel,Topwear,Tops,Magenta,Summer,Casual,Sepia Women Printed Magenta Top,1597,32,2.5
39729,Women,Apparel,Topwear,Tops,Olive,Summer,Casual,Arrow Woman Olive Top,1802,346,4.4
11143,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,Scullers Men Price Catch Black Shirts,2510,299,3.3
56684,Women,Apparel,Saree,Sarees,Beige,Fall,Ethnic,Fabindia Beige & Maroon Mull Printed Saree,1261,358,3.7
4988,Women,Apparel,Dress,Dresses,White,Summer,Casual,Gini and Jony Girl's Vanya White Polka Dot Kidswear,1154,453,2.7
44341,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,Indian Terrain Men Blue T-shirt,1927,187,2.6
33021,Women,Apparel,Topwear,Kurtas,Cream,Summer,Ethnic,Mother Earth Women Printed Cream Kurta,1875,163,2.3
11371,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,United Colors Of Benetton Men Summer Black Shirts,2801,103,2.4
41401,Women,Apparel,Topwear,Tops,White,Summer,Casual,Wrangler Women White Smocked Top,1377,64,3
4386,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Wrangler Cowboy Photo T-shirt,1561,345,2.3
29789,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,Basics Men Pack of 3 T-shirt,2581,325,3
7503,Men,Apparel,Topwear,Tshirts,Blue,Summer,Sports,Nike Men's As Icon Blue T-shirt,218,208,2.7
34204,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,Casual,Proline Men Navy Track Pants,232,259,4.3
13426,Men,Apparel,Topwear,Tshirts,Red,Summer,Casual,United Colors of Benetton Men Stripes Red  Polo T-shirts,1808,347,4.3
13846,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,John Miller Men Stripes Blue Shirts,1116,295,4.5
46278,Women,Apparel,Topwear,Tunics,Red,Summer,Casual,109F Women Red & White Striped Tunic,1990,104,4.7
